tmc,hour,vol.fraction
110+04183,18,0.078214
110+04183,19,0.057974
110+04183,20,0.048398
110+04183,21,0.035875
110+04183,22,0.028624
110+04183,23,0.022633
110+04184,0,0.011262
110+04184,1,0.006716
110+04184,2,0.00469
110+04184,3,0.004203
110+04184,4,0.007229
110+04184,5,0.018418
110+04184,6,0.030792
110+04184,7,0.041408
110+04184,8,0.039455
110+04184,9,0.038218
110+04184,10,0.041626
110+04184,11,0.043829
110+04184,12,0.048651
110+04184,13,0.054361
110+04184,14,0.073364
110+04184,15,0.084975
110+04184,16,0.091421
110+04184,17,0.089882
110+04184,18,0.08089
110+04184,19,0.053084
110+04184,20,0.048092
110+04184,21,0.035146
110+04184,22,0.029621
110+04184,23,0.022668
110+04185,0,0.008291
110+04185,1,0.005061
110+04185,2,0.003885
110+04185,3,0.003837
110+04185,4,0.008117
